current pwr_bound is 1e-1
cfgFile=sz.config
[SZ] Reading SZ configuration file (sz.config) ...
point count: 9680
pwrLength=303
pwrErrBoundBytes_size=606
pw_relBoundRatio=0.100000
hit: 9678
miss: 0
length of statenum:65536
nodecount=9
treeByteSize=64
enCodeSize=1217
-------insight of tdps
dataLength=9680
exactDataNum=2
realPrecision=29.000000
medianValue=0.000000
reqLength=16
quantization_intervals=20000
pwrErrBoundBytes_size=606
radExpo=8
-----------------------
timecost, 0.004290, seconds
done
input file size: 77440
output file size: 241
sz compression ratio, 321.33 
timecost, 0.003995, second
done
Max absolute error = 29.778717041015625
Max relative error = 0.58538231451186195642
Max pw_relative err = 0.089216943803389167633
../model_comparison/inputdata/sample_10/yf17_t.dat, ../model_comparison/inputdata/sample_10/yf17_t.dat.sz.out, 9680
size of double: 8
314.142670, 304.000000, -10.142670
313.640564, 304.000000, -9.640564
312.940399, 304.000000, -8.940399
311.858429, 304.000000, -7.858429
310.752106, 304.000000, -6.752106
309.794952, 304.000000, -5.794952
308.816376, 304.000000, -4.816376
308.059998, 304.000000, -4.059998
307.451996, 304.000000, -3.451996
306.817444, 304.000000, -2.817444
306.446625, 304.000000, -2.446625
306.186249, 304.000000, -2.186249
305.605682, 304.000000, -1.605682
305.613434, 304.000000, -1.613434
305.733032, 304.000000, -1.733032
305.351471, 304.000000, -1.351471
304.902405, 304.000000, -0.902405
305.171234, 304.000000, -1.171234
305.920349, 304.000000, -1.920349
306.718445, 304.000000, -2.718445
311.976746, 304.000000, -7.976746
311.121521, 304.000000, -7.121521
310.190491, 304.000000, -6.190491
309.296143, 304.000000, -5.296143
308.489471, 304.000000, -4.489471
307.738953, 304.000000, -3.738953
307.055969, 304.000000, -3.055969
306.425262, 304.000000, -2.425262
305.838867, 304.000000, -1.838867
305.297791, 304.000000, -1.297791
304.818542, 304.000000, -0.818542
304.382568, 304.000000, -0.382568
303.989655, 304.000000, 0.010345
303.639282, 304.000000, 0.360718
303.328125, 304.000000, 0.671875
303.057251, 304.000000, 0.942749
302.815613, 304.000000, 1.184387
302.601471, 304.000000, 1.398529
302.418274, 304.000000, 1.581726
302.263580, 304.000000, 1.736420
303.658539, 304.000000, 0.341461
303.552856, 304.000000, 0.447144
303.531525, 304.000000, 0.468475
303.541077, 304.000000, 0.458923
303.422943, 304.000000, 0.577057
303.337402, 304.000000, 0.662598
303.291840, 304.000000, 0.708160
303.315491, 304.000000, 0.684509
303.315735, 304.000000, 0.684265
303.277527, 304.000000, 0.722473
303.249451, 304.000000, 0.750549
303.182800, 304.000000, 0.817200
303.213501, 304.000000, 0.786499
303.285583, 304.000000, 0.714417
303.332733, 304.000000, 0.667267
303.365723, 304.000000, 0.634277
303.440094, 304.000000, 0.559906
303.524353, 304.000000, 0.475647
303.656586, 304.000000, 0.343414
303.724396, 304.000000, 0.275604
303.825684, 304.000000, 0.174316
303.933136, 304.000000, 0.066864
304.125122, 304.000000, -0.125122
304.216278, 304.000000, -0.216278
304.381012, 304.000000, -0.381012
304.474670, 304.000000, -0.474670
304.654724, 304.000000, -0.654724
304.818268, 304.000000, -0.818268
305.028259, 304.000000, -1.028259
305.100647, 304.000000, -1.100647
305.198364, 304.000000, -1.198364
305.386383, 304.000000, -1.386383
305.638458, 304.000000, -1.638458
305.768005, 304.000000, -1.768005
305.846863, 304.000000, -1.846863
306.070831, 304.000000, -2.070831
306.253540, 304.000000, -2.253540
306.518494, 304.000000, -2.518494
306.735962, 304.000000, -2.735962
306.890656, 304.000000, -2.890656
299.681976, 304.000000, 4.318024
299.581268, 304.000000, 4.418732
299.498260, 304.000000, 4.501740
299.429047, 304.000000, 4.570953
299.364105, 304.000000, 4.635895
299.318481, 304.000000, 4.681519
299.277069, 304.000000, 4.722931
299.240051, 304.000000, 4.759949
299.211884, 304.000000, 4.788116
299.191772, 304.000000, 4.808228
299.176361, 304.000000, 4.823639
299.166626, 304.000000, 4.833374
299.163635, 304.000000, 4.836365
299.162933, 304.000000, 4.837067
299.173218, 304.000000, 4.826782
299.194366, 304.000000, 4.805634
299.210510, 304.000000, 4.789490
299.240845, 304.000000, 4.759155
299.276855, 304.000000, 4.723145
299.317780, 304.000000, 4.682220
299.361389, 304.000000, 4.638611
299.412811, 304.000000, 4.587189
299.454498, 304.000000, 4.545502
299.519043, 304.000000, 4.480957
299.581757, 304.000000, 4.418243
299.637085, 304.000000, 4.362915
299.705383, 304.000000, 4.294617
299.770630, 304.000000, 4.229370
299.856842, 304.000000, 4.143158
300.005798, 304.000000, 3.994202
307.782166, 304.000000, -3.782166
308.037811, 304.000000, -4.037811
308.060669, 304.000000, -4.060669
308.070007, 304.000000, -4.070007
308.042419, 304.000000, -4.042419
307.977539, 304.000000, -3.977539
307.914307, 304.000000, -3.914307
307.894836, 304.000000, -3.894836
307.782471, 304.000000, -3.782471
307.747498, 304.000000, -3.747498
300.002686, 304.000000, 3.997314
300.002533, 304.000000, 3.997467
300.002594, 304.000000, 3.997406
300.003571, 304.000000, 3.996429
300.002533, 304.000000, 3.997467
300.002258, 304.000000, 3.997742
300.004181, 304.000000, 3.995819
300.002167, 304.000000, 3.997833
300.002502, 304.000000, 3.997498
300.002625, 304.000000, 3.997375
300.002563, 304.000000, 3.997437
300.002899, 304.000000, 3.997101
300.001648, 304.000000, 3.998352
300.002930, 304.000000, 3.997070
300.002930, 304.000000, 3.997070
300.002686, 304.000000, 3.997314
300.002106, 304.000000, 3.997894
300.002655, 304.000000, 3.997345
300.002563, 304.000000, 3.997437
300.001495, 304.000000, 3.998505
300.002502, 304.000000, 3.997498
300.002594, 304.000000, 3.997406
300.001587, 304.000000, 3.998413
300.002625, 304.000000, 3.997375
300.001556, 304.000000, 3.998444
300.002625, 304.000000, 3.997375
300.002808, 304.000000, 3.997192
300.001556, 304.000000, 3.998444
300.002411, 304.000000, 3.997589
300.001709, 304.000000, 3.998291
300.003204, 304.000000, 3.996796
300.001495, 304.000000, 3.998505
300.003754, 304.000000, 3.996246
300.002899, 304.000000, 3.997101
300.001465, 304.000000, 3.998535
300.002777, 304.000000, 3.997223
300.001617, 304.000000, 3.998383
300.002777, 304.000000, 3.997223
300.002838, 304.000000, 3.997162
300.001770, 304.000000, 3.998230
326.208557, 304.000000, -22.208557
312.449310, 304.000000, -8.449310
311.965576, 304.000000, -7.965576
330.724548, 304.000000, -26.724548
309.406647, 304.000000, -5.406647
325.868958, 304.000000, -21.868958
312.830139, 304.000000, -8.830139
312.533875, 304.000000, -8.533875
329.701141, 304.000000, -25.701141
309.083160, 304.000000, -5.083160
325.305878, 304.000000, -21.305878
313.077637, 304.000000, -9.077637
313.523376, 304.000000, -9.523376
303.423737, 304.000000, 0.576263
329.376526, 304.000000, -25.376526
313.669189, 304.000000, -9.669189
308.614777, 304.000000, -4.614777
309.892151, 304.000000, -5.892151
308.388763, 304.000000, -4.388763
308.075073, 304.000000, -4.075073
309.470673, 304.000000, -5.470673
307.905975, 304.000000, -3.905975
309.289551, 304.000000, -5.289551
307.656769, 304.000000, -3.656769
308.704803, 304.000000, -4.704803
308.991516, 304.000000, -4.991516
310.134338, 304.000000, -6.134338
303.350983, 304.000000, 0.649017
324.529388, 304.000000, -20.529388
313.948395, 304.000000, -9.948395
303.248260, 304.000000, 0.751740
303.214905, 304.000000, 0.785095
314.315369, 304.000000, -10.315369
323.696991, 304.000000, -19.696991
327.975220, 304.000000, -23.975220
314.680420, 304.000000, -10.680420
314.993805, 304.000000, -10.993805
310.655914, 304.000000, -6.655914
303.347473, 304.000000, 0.652527
303.498322, 304.000000, 0.501678
304.487305, 304.000000, -0.487305
305.115845, 304.000000, -1.115845
310.771576, 304.000000, -6.771576
306.356049, 304.000000, -2.356049
303.891235, 304.000000, 0.108765
307.931641, 304.000000, -3.931641
304.857727, 304.000000, -0.857727
303.843811, 304.000000, 0.156189
305.349792, 304.000000, -1.349792
303.609009, 304.000000, 0.390991
303.498840, 304.000000, 0.501160
310.577209, 304.000000, -6.577209
308.437469, 304.000000, -4.437469
306.076996, 304.000000, -2.076996
304.159912, 304.000000, -0.159912
306.733795, 304.000000, -2.733795
