6850,52012,184960,326566,363790,242866,120448,45982,13204,3718,610,190
22,22,78,78,78,302,302,288,330,5716,4294,7120
324352,354430,449776,899146,504010,230248,72604,19234,6580,1646,372,50
22,22,92,470,7264,62902,220060,275590,219952,98884,35488,12826
50,456,5806,55756,547012,5409080,4632226,1789282,478936,140572,36298,9010
92,596,5914,50734,120736,166258,156988,98830,51598,20962,7300,1282
9208,117568,176626,87868,60508,16624,3124,358,78,22,22,22
30592,182836,407224,1064558,1632814,1173732,320770,87292,19162,4240,1044,512
23158,82972,467884,1560846,1411892,460810,120934,25318,4168,428,78,22
